timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700551998694,1432,Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,288452,1534,2,2,null,0,5,46
1700551998696,920,/-37,200,OK,Thread Group 1-1,text,true,,11152,448,1,1,https://www.tab66aud.com/,920,0,46
1700551999618,512,/js/app.js-39,200,OK,Thread Group 1-1,text,true,,277300,1086,2,2,https://www.tab66aud.com/js/app.js,436,0,0
1700551999696,914,Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,288449,1534,2,2,null,0,1,37
1700551999696,848,/-37,200,OK,Thread Group 1-2,text,true,,11147,448,2,2,https://www.tab66aud.com/,848,0,37
1700552000544,66,/js/app.js-39,200,OK,Thread Group 1-2,text,true,,277302,1086,2,2,https://www.tab66aud.com/js/app.js,44,0,0
1700552000132,764,Click On Login Button,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,78735,2340,3,3,null,0,1,0
1700552000132,412,/login-113,200,OK,Thread Group 1-1,text,true,,8167,1217,2,2,https://www.tab66aud.com/login,412,0,0
1700552000544,352,/css/app.css-114,200,OK,Thread Group 1-1,text,true,,70568,1123,3,3,https://www.tab66aud.com/css/app.css?time=1700064991,348,0,0
1700552000611,588,Click On Login Button,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,78732,2340,3,3,null,0,1,0
1700552000611,545,/login-113,200,OK,Thread Group 1-2,text,true,,8158,1217,3,3,https://www.tab66aud.com/login,545,0,0
1700552001157,43,/css/app.css-114,200,OK,Thread Group 1-2,text,true,,70574,1123,3,3,https://www.tab66aud.com/css/app.css?time=1700064991,40,0,0
1700552000693,737,Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,288450,1534,3,3,null,0,2,42
1700552000694,608,/-37,200,OK,Thread Group 1-3,text,true,,11142,448,3,3,https://www.tab66aud.com/,608,0,42
1700552001303,129,/js/app.js-39,200,OK,Thread Group 1-3,text,true,,277308,1086,3,3,https://www.tab66aud.com/js/app.js,69,0,0
1700552001432,768,Click On Login Button,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,78745,2340,4,4,null,0,3,0
1700552001432,711,/login-113,200,OK,Thread Group 1-3,text,true,,8163,1217,4,4,https://www.tab66aud.com/login,711,0,0
1700552002145,57,/css/app.css-114,200,OK,Thread Group 1-3,text,true,,70582,1123,4,4,https://www.tab66aud.com/css/app.css?time=1700064991,53,0,0
1700552001692,908,Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,288482,1534,4,4,null,0,2,50
1700552001693,838,/-37,200,OK,Thread Group 1-4,text,true,,11168,448,4,4,https://www.tab66aud.com/,838,0,50
1700552002532,70,/js/app.js-39,200,OK,Thread Group 1-4,text,true,,277314,1086,4,4,https://www.tab66aud.com/js/app.js,46,0,0
1700552002602,518,Click On Login Button,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,78746,2340,5,5,null,0,2,0
1700552002602,462,/login-113,200,OK,Thread Group 1-4,text,true,,8170,1217,5,5,https://www.tab66aud.com/login,462,0,0
1700552003066,56,/css/app.css-114,200,OK,Thread Group 1-4,text,true,,70576,1123,5,5,https://www.tab66aud.com/css/app.css?time=1700064991,54,0,0
1700552001200,1972,Login,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-2,,true,,94295,6154,5,5,null,0,3,0
1700552001200,474,/login-141,200,OK,Thread Group 1-2,text,true,,1589,1371,3,3,https://www.tab66aud.com/login,474,0,0
1700552001675,749,/login-144,200,OK,Thread Group 1-2,text,true,,12042,2437,4,4,https://www.tab66aud.com/deposits,306,0,0
1700552001675,306,/login-144-0,302,Found,Thread Group 1-2,text,true,,1952,1217,4,4,https://www.tab66aud.com/login,306,0,0
1700552001982,442,/login-144-1,200,OK,Thread Group 1-2,text,true,,10090,1220,4,4,https://www.tab66aud.com/deposits,441,0,0
1700552002425,408,/deposits-145,200,OK,Thread Group 1-2,text,true,,10096,1220,5,5,https://www.tab66aud.com/deposits,408,0,0
1700552002834,341,/css/app.css-146,200,OK,Thread Group 1-2,text,true,,70568,1126,5,5,https://www.tab66aud.com/css/app.css?time=1700065048,339,0,0
1700552000897,2436,Login,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-1,,true,,94394,6154,5,5,null,0,6,0
1700552000897,575,/login-141,200,OK,Thread Group 1-1,text,true,,1593,1371,3,3,https://www.tab66aud.com/login,575,0,0
1700552001473,1024,/login-144,200,OK,Thread Group 1-1,text,true,,12096,2437,4,4,https://www.tab66aud.com/deposits,520,0,0
1700552001473,520,/login-144-0,302,Found,Thread Group 1-1,text,true,,1952,1217,4,4,https://www.tab66aud.com/login,520,0,0
1700552001993,504,/login-144-1,200,OK,Thread Group 1-1,text,true,,10144,1220,4,4,https://www.tab66aud.com/deposits,503,0,0
1700552002498,481,/deposits-145,200,OK,Thread Group 1-1,text,true,,10131,1220,5,5,https://www.tab66aud.com/deposits,480,0,0
1700552002982,356,/css/app.css-146,200,OK,Thread Group 1-1,text,true,,70574,1126,5,5,https://www.tab66aud.com/css/app.css?time=1700065048,353,0,0
