timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699784363753,2584,Select Product Review,200,OK,Thread Group 1-1,text,true,,3564,0,3,3,null,2564,0,2352
1699784366337,588,Select Products,200,OK,Thread Group 1-1,text,true,,40163,0,4,4,null,215,0,0
1699784364750,2372,Select Product Review,200,OK,Thread Group 1-2,text,true,,3564,0,4,4,null,2371,0,2177
1699784367122,362,Select Products,200,OK,Thread Group 1-2,text,true,,40163,0,4,4,null,192,0,0
1699784367484,185,Count Orders,200,OK,Thread Group 1-2,text,true,,20,0,4,4,null,184,0,0
1699784367670,182,Select Product Review,200,OK,Thread Group 1-2,text,true,,3564,0,5,5,null,182,0,0
1699784367852,223,Select Products,200,OK,Thread Group 1-2,text,true,,40163,0,5,5,null,182,0,0
1699784366745,1511,Select Product Review,200,OK,Thread Group 1-4,text,true,,3564,0,5,5,null,1511,0,1330
1699784368257,214,Select Products,200,OK,Thread Group 1-4,text,true,,40163,0,5,5,null,180,0,0
1699784368472,236,Count Orders,200,OK,Thread Group 1-4,text,true,,20,0,5,5,null,236,0,0
1699784365744,3178,Select Product Review,200,OK,Thread Group 1-3,text,true,,3564,0,6,6,null,3176,0,2964
1699784368076,1023,Count Orders,200,OK,Thread Group 1-2,text,true,,20,0,6,6,null,1023,0,847
1699784366928,2365,Count Orders,200,OK,Thread Group 1-1,text,true,,20,0,6,6,null,2365,0,2171
1699784367752,1730,Select Product Review,200,OK,Thread Group 1-5,text,true,,3564,0,6,6,null,1730,0,1542
1699784369486,217,Select Products,200,OK,Thread Group 1-5,text,true,,40163,0,6,6,null,181,0,0
1699784368756,1131,Select Product Review,200,OK,Thread Group 1-6,text,true,,3564,0,7,7,null,1131,0,947
1699784369888,225,Select Products,200,OK,Thread Group 1-6,text,true,,40163,0,7,7,null,190,0,0
1699784369104,1202,Select Product Review,200,OK,Thread Group 1-2,text,true,,3564,0,7,7,null,1201,0,1009
1699784370307,287,Select Products,200,OK,Thread Group 1-2,text,true,,40163,0,7,7,null,279,0,0
1699784370595,199,Count Orders,200,OK,Thread Group 1-2,text,true,,20,0,8,8,null,199,0,0
1699784370795,213,Select Product Review,200,OK,Thread Group 1-2,text,true,,3564,0,8,8,null,212,0,0
1699784369746,1451,Select Product Review,200,OK,Thread Group 1-7,text,true,,3564,0,8,8,null,1451,0,1262
1699784371199,215,Select Products,200,OK,Thread Group 1-7,text,true,,40163,0,8,8,null,180,0,0
1699784371415,210,Count Orders,200,OK,Thread Group 1-7,text,true,,20,0,8,8,null,210,0,0
1699784371626,180,Select Product Review,200,OK,Thread Group 1-7,text,true,,3564,0,9,9,null,180,0,0
1699784371806,219,Select Products,200,OK,Thread Group 1-7,text,true,,40163,0,9,9,null,193,0,0
1699784372025,189,Count Orders,200,OK,Thread Group 1-7,text,true,,20,0,9,9,null,188,0,0
1699784372214,181,Select Product Review,200,OK,Thread Group 1-7,text,true,,3564,0,9,9,null,181,0,0
1699784372395,208,Select Products,200,OK,Thread Group 1-7,text,true,,40163,0,9,9,null,184,0,0
1699784372603,196,Count Orders,200,OK,Thread Group 1-7,text,true,,20,0,10,10,null,195,0,1
1699784370113,2870,Count Orders,200,OK,Thread Group 1-6,text,true,,20,0,10,10,null,2870,0,2686
1699784372984,195,Select Product Review,200,OK,Thread Group 1-6,text,true,,3564,0,10,10,null,194,0,0
1699784373180,223,Select Products,200,OK,Thread Group 1-6,text,true,,40163,0,10,10,null,180,0,0
1699784368708,4876,Select Product Review,200,OK,Thread Group 1-4,text,true,,3564,0,10,10,null,4876,0,4691
1699784370746,3057,Select Product Review,200,OK,Thread Group 1-8,text,true,,3564,0,10,10,null,3056,0,2843
1699784369704,4277,Count Orders,200,OK,Thread Group 1-5,text,true,,20,0,10,10,null,4277,0,4099
1699784371008,3206,Select Products,200,OK,Thread Group 1-2,text,true,,40163,0,10,10,null,3161,0,2974
1699784368927,5516,Select Products,200,OK,Thread Group 1-3,text,true,,40163,0,10,10,null,5478,0,5287
1699784372748,1877,Select Product Review,200,OK,Thread Group 1-10,text,true,,3564,0,10,10,null,1876,0,1695
1699784374626,212,Select Products,200,OK,Thread Group 1-10,text,true,,40163,0,10,10,null,178,0,0
1699784374838,184,Count Orders,200,OK,Thread Group 1-10,text,true,,20,0,10,10,null,184,0,0
1699784375023,186,Select Product Review,200,OK,Thread Group 1-10,text,true,,3564,0,10,10,null,186,0,0
1699784373405,1994,Count Orders,200,OK,Thread Group 1-6,text,true,,20,0,10,10,null,1994,0,1803
1699784375401,200,Select Product Review,200,OK,Thread Group 1-6,text,true,,3564,0,10,10,null,199,0,0
1699784373804,2009,Select Products,200,OK,Thread Group 1-8,text,true,,40163,0,10,10,null,1979,0,1797
1699784375813,182,Count Orders,200,OK,Thread Group 1-8,text,true,,20,0,10,10,null,181,0,0
1699784375995,190,Select Product Review,200,OK,Thread Group 1-8,text,true,,3564,0,10,10,null,190,0,0
1699784376185,327,Select Products,200,OK,Thread Group 1-8,text,true,,40163,0,10,10,null,283,0,0
1699784372800,3895,Select Product Review,200,OK,Thread Group 1-7,text,true,,3564,0,10,10,null,3895,0,3711
1699784369298,7618,Select Product Review,200,OK,Thread Group 1-1,text,true,,3564,0,10,10,null,7618,0,7398
1699784376918,467,Select Products,200,OK,Thread Group 1-1,text,true,,40163,0,10,10,null,363,0,0
1699784377385,242,Count Orders,200,OK,Thread Group 1-1,text,true,,20,0,10,10,null,242,0,0
1699784377627,187,Select Product Review,200,OK,Thread Group 1-1,text,true,,3564,0,10,10,null,186,0,0
1699784377814,390,Select Products,200,OK,Thread Group 1-1,text,true,,40163,0,10,10,null,183,0,1
1699784378204,191,Count Orders,200,OK,Thread Group 1-1,text,true,,20,0,10,10,null,190,0,0
1699784378396,304,Select Product Review,200,OK,Thread Group 1-1,text,true,,3564,0,10,10,null,303,0,2
1699784378700,321,Select Products,200,OK,Thread Group 1-1,text,true,,40163,0,10,10,null,289,0,0
1699784379022,252,Count Orders,200,OK,Thread Group 1-1,text,true,,20,0,10,10,null,251,0,0
1699784376698,2805,Select Products,200,OK,Thread Group 1-7,text,true,,40163,0,10,10,null,2761,0,2577
1699784371752,7992,Select Product Review,200,OK,Thread Group 1-9,text,true,,3564,0,10,10,null,7992,0,7750
1699784375210,4802,Select Products,200,OK,Thread Group 1-10,text,true,,40163,0,10,10,null,4747,0,4535
1699784380012,221,Count Orders,200,OK,Thread Group 1-10,text,true,,20,0,10,10,null,221,0,0
1699784380233,232,Select Product Review,200,OK,Thread Group 1-10,text,true,,3564,0,10,10,null,228,0,1
1699784380465,225,Select Products,200,OK,Thread Group 1-10,text,true,,40163,0,10,10,null,199,0,0
1699784380691,195,Count Orders,200,OK,Thread Group 1-10,text,true,,20,0,10,10,null,195,0,0
1699784374445,6639,Count Orders,200,OK,Thread Group 1-3,text,true,,20,0,10,10,null,6639,0,6442
1699784381084,256,Select Product Review,200,OK,Thread Group 1-3,text,true,,3564,0,10,10,null,255,0,0
1699784379275,2264,Select Product Review,200,OK,Thread Group 1-1,text,true,,3564,0,10,10,null,2262,0,2066
1699784381539,280,Select Products,200,OK,Thread Group 1-1,text,true,,40163,0,10,10,null,229,0,0
1699784379751,2299,Select Products,200,OK,Thread Group 1-9,text,true,,40163,0,10,10,null,2272,0,2068
1699784382050,192,Count Orders,200,OK,Thread Group 1-9,text,true,,20,0,10,10,null,191,0,0
1699784375601,6863,Select Products,200,OK,Thread Group 1-6,text,true,,40163,0,10,10,null,6828,0,6642
1699784382463,193,Count Orders,200,OK,Thread Group 1-6,text,true,,20,0,10,10,null,193,0,1
1699784374217,8631,Count Orders,200,OK,Thread Group 1-2,text,true,,20,0,10,10,null,8631,0,8440
1699784380886,2199,Select Product Review,200,OK,Thread Group 1-10,text,true,,3564,0,10,10,null,2199,0,1961
1699784376513,6825,Count Orders,200,OK,Thread Group 1-8,text,true,,20,0,10,10,null,6825,0,6573
1699784383337,193,Select Product Review,200,OK,Thread Group 1-8,text,true,,3564,0,10,10,null,192,0,0
1699784373589,10006,Select Products,null 0,"java.sql.SQLException: Cannot get a connection, pool error Timeout waiting for idle object, borrowMaxWaitDuration=PT10S",Thread Group 1-4,text,false,,96,0,10,10,null,0,0,10006
1699784379503,4251,Count Orders,200,OK,Thread Group 1-7,text,true,,20,0,10,10,null,4250,0,4027
1699784381823,2115,Count Orders,200,OK,Thread Group 1-1,text,true,,20,0,10,10,null,2115,0,1931
1699784373983,10005,Select Product Review,null 0,"java.sql.SQLException: Cannot get a connection, pool error Timeout waiting for idle object, borrowMaxWaitDuration=PT10S",Thread Group 1-5,text,false,,96,0,10,10,null,0,0,10005
1699784382243,1883,Select Product Review,200,OK,Thread Group 1-9,text,true,,3564,0,10,10,null,1883,0,1695
1699784384126,222,Select Products,200,OK,Thread Group 1-9,text,true,,40163,0,10,10,null,207,0,0
1699784384348,195,Count Orders,200,OK,Thread Group 1-9,text,true,,20,0,10,10,null,195,0,0
1699784384544,222,Select Product Review,200,OK,Thread Group 1-9,text,true,,3564,0,10,10,null,222,0,0
1699784384767,228,Select Products,200,OK,Thread Group 1-9,text,true,,40163,0,10,10,null,199,0,0
