timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699436337294,3017,Home,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group-05-Select Brand 1-1,,true,,92110,3607,1,1,null,0,39,199
1699436337316,2587,/-11,200,OK,Thread Group-05-Select Brand 1-1,text,true,,74009,447,1,1,https://au.jm-dev.store/,2499,0,199
1699436339906,53,/clients/client-2.png-24,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,1073,395,1,1,https://au.jm-dev.store/clients/client-2.png,53,0,0
1699436339967,56,/clients/client-6.png-25,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,2669,395,1,1,https://au.jm-dev.store/clients/client-6.png,56,0,0
1699436340024,51,/clients/client-4.png-22,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,3037,395,1,1,https://au.jm-dev.store/clients/client-4.png,51,0,0
1699436340077,55,/clients/client-1.png-21,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,2125,395,1,1,https://au.jm-dev.store/clients/client-1.png,54,0,0
1699436340132,51,/clients/client-5.png-30,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,1591,395,1,1,https://au.jm-dev.store/clients/client-5.png,51,0,0
1699436340184,52,/clients/client-7.png-31,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,1678,395,1,1,https://au.jm-dev.store/clients/client-7.png,52,0,0
1699436340237,55,/clients/client-3.png-29,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,2825,395,1,1,https://au.jm-dev.store/clients/client-3.png,55,0,0
1699436340294,57,/clients/client-8.png-32,200,OK,Thread Group-05-Select Brand 1-1,bin,true,,3103,395,1,1,https://au.jm-dev.store/clients/client-8.png,57,0,0
1699436340358,254,Advanced Instruments,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group-05-Select Brand 1-1,,true,,1518,581,1,1,null,0,5,0
1699436340358,254,/api/advanced-instruments-160,200,OK,Thread Group-05-Select Brand 1-1,text,true,,1518,581,1,1,https://au.jm-dev.store/api/advanced-instruments?,254,0,0
